\fixlen = T
|set|pl_orbper       |pl_bmassj|
|int|double          |double   |
 0   269.30000000     7.10000   
 0   934.30000000     2.01000   
 0   735.10000000     1.85000   
 0   326.03000000     19.40000  
 0   516.21997000     14.74000  
 0   185.84000000     4.80000   
 0   1773.40002000    4.66000   
 0   798.50000000     1.78000   
 0   993.30000000     10.30000  
 0   452.80000000     1.99000   
 0   883.00000000     0.86000   
 0   335.10001000     13.82000  
 0   479.10000000     3.88000   
 0   1078.00000000    2.53000   
 0   2391.00000000    0.54000   
 0   14002.00000000   1.64000   
 0   4.23078500       0.47200   
 0   14.65152000      0.83060   
 0   44.41750000      0.17140   
 0   4825.00000000    3.87800   
 0   0.73653900       0.02542   
 0   262.00000000     0.14100   
 0   4.21500000       0.01600   
 0   38.02100000      0.05700   
 0   123.01000000     0.07200   
 0   116.68800000     7.41600   
 0   691.90000000     3.00000   
 0   952.70000000     5.30000   
 0   181.40000000     3.20000   
 0   10220.00000000   6.05000   
 0   5573.55000000    7.33000   
 0   2883.50000000    2.30000   
 0   3160.00000000    2.66000   
 0   4343.50000000    4.20000   
 0   5840.00000000    6.30000   
 0   1916.25000000    7.70000   
 0   380.80000000     1.80000   
 0   605.20000000     7.80000   
 0   522.30000000     6.10000   
 0   2502.00000000    1.55000   
 0   417.90000000     6.70000   
 0   594.90000000     7.60000   
 0   428.50000000     8.78000   
 0   903.30000000     1.85000   
 0   1285.00000000    1.81100   
 0   357.80000000     2.40000   
 0   530.21000000     22.20600  
 0   3184.83000000    24.66200  
 0   277.02000000     1.70000   
 0   187.83000000     1.50000   
 0   1630.00000000    4.10000   
 0   3.31245680       4.32000   
 0   305.50000000     20.60000  
 0   4.61703300       0.68760   
 0   241.25800000     1.98100   
 0   1276.46000000    4.13200   
 0   136.75000000     2.80000   
 0   121.54000000     0.02200   
 0   7336.50000000    20.95000  
 0   655.60000000     5.10000   
 0   714.29999000     9.78000   
 0   1667.00000000    0.53000   
 0   3.48777000       0.59000   
 0   5.60000000       0.04000   
 0   237.60000000     0.33000   
 0   3.87280000       0.02700   
 0   125.94000000     0.17000   
 0   268.94000000     1.04000   
 0   137.48000000     1.11000   
 0   578.20000000     4.20000   
 0   379.63000000     55.59000  
 0   621.99000000     12.47000  
 0   392.60000000     0.91000   
 0   2590.00000000    1.60000   
 0   10037.50000000   10.50000  
 0   1.50895570       1.03000   
 0   1.74299350       3.47000   
 0   4.25680000       21.66000  
 0   9.20205000       0.72000   
 0   4.03789620       0.46700   
 0   8.88659300       2.96000   
 0   0.85359163       0.01000   
 0   3.69800000       0.02643   
 0   6.21229000       0.22000   
 0   95.27265600      0.84000   
 0   13.24060000      2.75000   
 0   2.99433000       2.33000   
 0   2.82804200       0.91700   
 0   4.03519000       1.30800   
 0   1.51214000       7.60000   
 0   5.35227000       0.53500   
 0   3.76810000       2.43000   
 0   1.90006930       3.47000   
 0   3.89713000       1.11000   
 0   9.24285000       4.30000   
 0   9.75598000       0.03800   
 0   3.63130000       2.80000   
 0   5.11340000       0.01800   
 0   11.75900000      0.08800   
 0   4.86069000       0.27000   
 0   4.20474000       0.52000   
 0   3.57532000       10.39000  
 0   5.20851000       0.48400   
 0   2.85057000       0.85000   
 0   246.36000000     28.50000  
 0   15.76491000      4.42000   
 0   8.63182000       0.03335   
 0   25.63058000      0.02140   
 0   603.95116000     0.09250   
 0   2288.00000000    0.82000   
 0   692.00000000     2.50000   
 0   4100.00000000    2.30000   
 0   7.36970000       0.01668   
 0   2.64388312       0.07000   
 0   5.36860000       0.04970   
 0   12.91400000      0.01730   
 0   3.14900000       0.00530   
 0   598.30000000     0.32800   
 0   7.20040000       0.01800   
 0   28.14000000      0.01200   
 0   62.24000000      0.00800   
 0   39.02600000      0.00800   
 0   256.20000000     0.01400   
 0   4.69380000       0.03500   
 0   1056.80005000    4.96000   
 0   3.60050000       0.01400   
 0   35.39000000      0.02500   
 0   38.14000000      0.06000   
 0   3657.00000000    0.68000   
 0   35.68000000      0.01700   
 0   1882.00000000    1.00000   
 0   61.11660000      2.27560   
 0   30.08810000      0.71420   
 0   1.93778000       0.02100   
 0   124.26000000     0.04600   
 0   1.58040456       0.01970   
 0   133.71000000     3.37000   
 0   30.59870000      0.07406   
 0   122.61960000     0.06636   
 0   14.20700000      0.02080   
 0   3.33664960       0.04373   
 0   2.64561000       0.02600   
 0   4.46529976       0.52500   
 0   5.63351580       8.62000   
 0   2.89970000       0.65000   
 0   3.05653600       0.67100   
 0   2.78849000       0.98000   
 0   3.85298000       1.32000   
 0   3.07634000       1.28000   
 0   3.92281072       0.74900   
 0   3.21305980       0.21100   
 0   2.91625000       0.85100   
 0   446.27000000     14.28000  
 0   4.62767000       3.44000   
 0   10.86350000      1.94000   
 0   2.77596000       4.19300   
 0   10.33852000      0.58000   
 0   5584.00000000    3.40000   
 0   5.50802300       0.19700   
 0   4.00877800       0.29200   
 0   2.87531700       7.24600   
 0   4.12448000       4.87000   
 0   3.21222000       2.47000   
 0   1.21288000       1.34000   
 0   3.35524000       0.75000   
 0   3.65281514       0.56900   
 0   4.23452000       0.07000   
 0   3.03957700       0.62000   
 0   3.25721500       0.62600   
 0   5.72319000       0.88000   
 0   2.81060000       0.83000   
 0   5.00542000       2.27000   
 0   2.15000820       0.68000   
 0   3.47447000       0.92000   
 0   5.45265000       7.01000   
 0   3.64671000       7.52000   
 0   1.32734683       1.84820   
 0   2.79743600       1.16900   
 0   4.64038200       0.26700   
 0   3.54387000       0.59900   
 0   4.45724000       0.48000   
 0   2.69405000       1.19000   
 0   4.64187800       1.04400   
 0   3.33268700       0.66200   
 0   4.30121900       0.35200   
 0   872.20000000     4.00000   
 0   3.12899200       0.89200   
 0   4.46312900       0.49300   
 0   2.69155000       2.20000   
 0   3.79984700       0.76000   
 0   3.44645900       1.85500   
 0   1.35413300       1.34500   
 0   3.54785100       1.07100   
 0   2.51672900       1.32300   
 0   4.76338700       0.23700   
 0   3.32527250       0.31900   
 0   349.70000000     1.25000   
 0   6005.00000000    5.30000   
 0   492.30000000     0.33000   
 0   5.77152000       0.02026   
 0   428.50000000     2.75000   
 0   577.20000000     0.93400   
 0   2149.00000000    3.62000   
 0   270.00000000     6.43000   
 0   533.00000000     8.79000   
 0   1120.00000000    6.29000   
 0   3.44420000       0.42000   
 0   311.60001000     1.37000   
 0   62.25000000      0.22800   
 0   526.62000000     1.56000   
 0   431.88000000     2.23000   
 0   6700.00000000    2.17000   
 0   832.97000000     0.81000   
 0   15.56000000      0.05000   
 0   356.21000000     1.92700   
 0   360.20000000     2.37000   
 0   2732.00000000    2.37000   
 0   637.10000000     1.55600   
 0   872.20000000     1.05300   
 0   779.90000000     1.68100   
 0   177.11000000     7.63000   
 0   21.99800000      0.49000   
 0   2496.00000000    1.68000   
 0   615.00000000     0.27000   
 0   1255.50000000    0.50800   
 0   5.39792000       0.02000   
 0   15.29900000      0.02473   
 0   24.45100000      0.02026   
 0   1313.00000000    0.68000   
 0   227.00000000     2.03000   
 0   1634.00000000    14.20000  
 0   30.05200000      0.70000   
 0   192.90000000     1.82000   
 0   5.75969000       0.04160   
 0   16.35700000      0.03780   
 0   49.74800000      0.08050   
 0   122.74400000     0.07220   
 0   604.67000000     0.07320   
 0   2205.00000000    0.20660   
 0   1032.30000000    1.48700   
 0   989.20000000     0.94000   
 0   1075.69000000    6.38300   
 0   1622.10000000    4.83000   
 0   223.41000000     0.40800   
 0   711.00000000     6.54000   
 0   1945.00000000    0.62200   
 0   37.91000000      0.07880   
 0   262.70862000     2.43000   
 0   1708.00000000    1.81200   
 0   471.60001000     10.95000  
 0   19.38200000      0.86500   
 0   931.00000000     5.13000   
 0   4218.00000000    2.20000   
 0   1455.00000000    7.80000   
 0   75.52300000      0.26000   
 0   17.24000000      0.06960   
 0   990.00000000     5.10000   
 0   359.89999000     10.13000  
 0   21.21663000      3.51000   
 0   766.00000000     3.40000   
 0   466.20000000     1.37000   
 0   18.31500000      0.00850   
 0   40.11400000      0.00760   
 0   90.30900000      0.01500   
 0   597.06430000     1.48780   
 0   380.85001000     1.25000   
 0   1211.17000000    1.52700   
 0   730.59998000     2.61000   
 0   528.07000000     13.65000  
 0   1561.00000000    9.03000   
 0   3668.00000000    3.86000   
 0   1802.29000000    0.91500   
 0   428.10000000     1.56000   
 0   2198.14000000    1.49400   
