# #JD, mag, error
2.602450692841084674e+02,4.160505468750000000e+04,7.217329978942871094e+00
2.602655020501042600e+02,4.160060546875000000e+04,7.218104362487792969e+00
2.602859347158737364e+02,4.160147656250000000e+04,7.218999862670898438e+00
2.603063675811790745e+02,4.159374218750000000e+04,7.219198703765869141e+00
2.603268003464763751e+02,4.158755078125000000e+04,7.219366073608398438e+00
2.603472330117801903e+02,4.158459375000000000e+04,7.220245838165283203e+00
2.603676657766191056e+02,4.158738671875000000e+04,7.220292568206787109e+00
2.603880986412186758e+02,4.157006640625000000e+04,7.219633102416992188e+00
2.604085313058239990e+02,4.158141406250000000e+04,7.220296382904052734e+00
2.604289640701972530e+02,4.158176562500000000e+04,7.220429897308349609e+00
2.604493969340983313e+02,4.159986718750000000e+04,7.222412586212158203e+00
2.604698295980051626e+02,4.158266015625000000e+04,7.219893932342529297e+00
2.604902623616799247e+02,4.158228125000000000e+04,7.220804214477539062e+00
2.605106952253481722e+02,4.157809375000000000e+04,7.220254898071289062e+00
2.605311278885565116e+02,4.159886718750000000e+04,7.221859455108642578e+00
2.605515606517656124e+02,4.157829687500000000e+04,7.220878601074218750e+00
2.605719934145017760e+02,4.158342187500000000e+04,7.222478389739990234e+00
2.605924262772459770e+02,4.156735156250000000e+04,7.220998287200927734e+00
2.606128589397558244e+02,4.157517187500000000e+04,7.221606731414794922e+00
2.606332917020263267e+02,4.157864062500000000e+04,7.220084667205810547e+00
2.606537245640720357e+02,4.156837109375000000e+04,7.220892906188964844e+00
2.606741572261162219e+02,4.156960546875000000e+04,7.221736907958984375e+00
2.606945899876882322e+02,4.158317578125000000e+04,7.222426891326904297e+00
2.607150226492667571e+02,4.159455859375000000e+04,7.222484588623046875e+00
2.607354555106139742e+02,4.157538281250000000e+04,7.221683502197265625e+00
2.607558882717203232e+02,4.159078515625000000e+04,7.222893714904785156e+00
2.607763210326011176e+02,4.159010156250000000e+04,7.223415851593017578e+00
2.607967537932490814e+02,4.158357031250000000e+04,7.222930908203125000e+00
2.608171865536569385e+02,4.156555859375000000e+04,7.223040103912353516e+00
2.608376192140713101e+02,4.158257812500000000e+04,7.223388195037841797e+00
2.608580519742536126e+02,4.159413671875000000e+04,7.224207878112792969e+00
2.608784848339637392e+02,4.157706640625000000e+04,7.222205162048339844e+00
2.608989175936803804e+02,4.157996093750000000e+04,7.223131179809570312e+00
2.609193502531634294e+02,4.159516406250000000e+04,7.222734928131103516e+00
2.609397831126407254e+02,4.158735937500000000e+04,7.222731590270996094e+00
2.609602157716581132e+02,4.158510156250000000e+04,7.223311901092529297e+00
2.609806485306762625e+02,4.158295703125000000e+04,7.222887039184570312e+00
2.610010813892222359e+02,4.157907812500000000e+04,7.224555015563964844e+00
2.610215140477739624e+02,4.156313281250000000e+04,7.223868846893310547e+00
2.610419468060936197e+02,4.155921093750000000e+04,7.222460269927978516e+00
2.610623795641731704e+02,4.157992968750000000e+04,7.224358558654785156e+00
2.610828123222599970e+02,4.157752343750000000e+04,7.224264144897460938e+00
