# #JD, mag, error
2.602450692841084674e+02,1.001104976737777097e+00,1.736641140108695889e-04
2.602655020501042600e+02,1.000996037468378619e+00,1.736824208078191001e-04
2.602859347158737364e+02,1.000954339094330958e+00,1.736930953786218761e-04
2.603063675811790745e+02,1.000736454952471544e+00,1.736923618422409879e-04
2.603268003464763751e+02,1.000560502662998452e+00,1.736917036906760294e-04
2.603472330117801903e+02,1.000489359048664095e+00,1.737128700650050078e-04
2.603676657766191056e+02,1.000556555461146413e+00,1.737139943493867193e-04
2.603880986412186758e+02,1.000139843722760213e+00,1.736981281728571913e-04
2.604085313058239990e+02,1.000381456890907295e+00,1.737086334740063349e-04
2.604289640701972530e+02,1.000389914915096101e+00,1.737118456142689327e-04
2.604493969340983313e+02,1.000825409182764192e+00,1.737595458971686972e-04
2.604698295980051626e+02,1.000411435887753830e+00,1.736989511655004641e-04
2.604902623616799247e+02,1.000402320017239388e+00,1.737208510789337653e-04
2.605106952253481722e+02,1.000301575551348021e+00,1.737076354161390260e-04
2.605311278885565116e+02,1.000801350802849710e+00,1.737462384589378846e-04
2.605515606517656124e+02,1.000306462409768171e+00,1.737226406999372111e-04
2.605719934145017760e+02,1.000429761606829171e+00,1.737611290234409981e-04
2.605924262772459770e+02,1.000043135923362136e+00,1.737255201542440663e-04
2.606128589397558244e+02,1.000231279972535914e+00,1.737401583362979576e-04
2.606332917020263267e+02,1.000314732477863622e+00,1.737035399373041908e-04
2.606537245640720357e+02,1.000067664193509120e+00,1.737229848578224797e-04
2.606741572261162219e+02,1.000097361256215844e+00,1.737432901730539810e-04
2.606945899876882322e+02,1.000423840989897117e+00,1.737598900550539930e-04
2.607150226492667571e+02,1.000697693017515766e+00,1.737612781585246209e-04
2.607354555106139742e+02,1.000236354787048976e+00,1.737420053169489527e-04
2.607558882717203232e+02,1.000606910224557833e+00,1.737711210740436134e-04
2.607763210326011176e+02,1.000590464066413166e+00,1.737836828368563124e-04
2.607967537932490814e+02,1.000433332772597605e+00,1.737720158845453499e-04
2.608171865536569385e+02,1.000000000000000000e+00,1.737746429564029828e-04
2.608376192140713101e+02,1.000409462348776479e+00,1.737830174649447731e-04
2.608580519742536126e+02,1.000687543388489420e+00,1.738027377117713095e-04
2.608784848339637392e+02,1.000276859325107903e+00,1.737545556078321527e-04
2.608989175936803804e+02,1.000346497057594375e+00,1.737768340949392466e-04
2.609193502531634294e+02,1.000712259614729538e+00,1.737673009215169985e-04
2.609397831126407254e+02,1.000524491477741806e+00,1.737672206180104512e-04
2.609602157716581132e+02,1.000470172166841420e+00,1.737811819562232771e-04
2.609806485306762625e+02,1.000418578219290922e+00,1.737709604670304917e-04
2.610010813892222359e+02,1.000325258019076236e+00,1.738110892764541018e-04
2.610215140477739624e+02,9.999416396330984558e-01,1.737945811698901632e-04
2.610419468060936197e+02,9.998472856743718662e-01,1.737606930901196289e-04
2.610623795641731704e+02,1.000345745233222061e+00,1.738063628414962514e-04
2.610828123222599970e+02,1.000287854756553241e+00,1.738040913994534132e-04
2.611032450798811624e+02,1.000681528793510688e+00,1.737700656565287552e-04
2.611236778375023277e+02,1.000034583921126874e+00,1.737895105770470442e-04
2.611441106948841480e+02,1.000441602840693278e+00,1.737891778910912745e-04
2.611645433518060599e+02,1.000024528270146984e+00,1.737729221669765854e-04
2.611849761089542881e+02,1.000105631324311295e+00,1.737979883329544340e-04
2.612054087656433694e+02,1.001111854268619039e+00,1.738636077697477630e-04
2.612258416221011430e+02,9.999098750533678137e-01,1.737997091223808315e-04
2.612462743785581551e+02,1.000095951585517673e+00,1.737688037442827250e-04
2.612667070345414686e+02,1.000326009843448549e+00,1.737607733936262033e-04
2.612871398905335809e+02,9.998454061134410820e-01,1.737895908805536186e-04
2.613075726462848252e+02,1.000069073864207070e+00,1.737538214043435651e-04
2.613280054018105147e+02,1.000176114859216758e+00,1.737899809261569375e-04
2.613484380573354429e+02,1.000251203318402338e+00,1.737977130066462137e-04
2.613688709123962326e+02,1.000000000000000000e+00,1.738100977194430427e-04
2.613893036674489849e+02,1.000354881814769392e+00,1.738127897145151581e-04
2.614097363222754211e+02,1.000206770337554563e+00,1.738416014182894286e-04
2.614301691766304430e+02,1.000106580860615102e+00,1.738393798095024662e-04
2.614506019309919793e+02,9.999996240507516010e-01,1.738194374149767409e-04
2.614914674392493907e+02,9.996324154842275433e-01,1.737902808660616921e-04
2.615119001931379898e+02,9.998407834731365407e-01,1.738472166903623538e-04
2.615323328465674422e+02,1.000281037277574114e+00,1.738368450898851632e-04
2.615527655999976560e+02,1.000056019576021971e+00,1.738318595527311528e-04
2.615731984531885246e+02,1.000061754260902935e+00,1.738339949629448523e-04
