# #JD, mag, error
1.001208318848133786e+03,nan,nan
1.001228751538117649e+03,1.000680005027252184e+00,1.736289373377757550e-04
1.001249184427862929e+03,1.000213984723200999e+00,1.736696051994768438e-04
1.001269617217149062e+03,9.999260188382940173e-01,1.736479371288331380e-04
1.001290050106428680e+03,9.993819114671274040e-01,1.735784720263543613e-04
1.001310482795481221e+03,9.996929054040100127e-01,1.736196234641548071e-04
1.001330915584534523e+03,9.996864950540849115e-01,1.736466811948550915e-04
1.001351348473115650e+03,9.997673077691354715e-01,1.736378150483424614e-04
1.001371781161469698e+03,9.999279791150956775e-01,1.736352029932047923e-04
1.001392213949824509e+03,9.999997119165433546e-01,1.736342386443983352e-04
1.001412646837707143e+03,9.997086712923980434e-01,1.736039345171034697e-04
1.001433079625596292e+03,1.000071631910306902e+00,1.736476082800703015e-04
1.001453512313251849e+03,9.998607790478035717e-01,1.735679415934380534e-04
1.001473945200668823e+03,1.000000000000000000e+00,1.735449931848554340e-04
1.001494377987859480e+03,1.000000575733301922e+00,1.735251058993940204e-04
1.001514810674816545e+03,1.000194789654999639e+00,1.735175914654375935e-04
1.001535243561535026e+03,1.000132797193450385e+00,1.734803987438431462e-04
1.001555676248026430e+03,9.999195957142020807e-01,1.735134493640997267e-04
1.001576109134519356e+03,1.000000000000000000e+00,1.735029057472603899e-04
1.001596541920538584e+03,9.999783162594665376e-01,1.734969324358271521e-04
1.001616974606564327e+03,1.000000000000000000e+00,1.735164818179111949e-04
1.001637407492358761e+03,9.999349489593992724e-01,1.735101294223673923e-04
1.001657840277912328e+03,9.999852246132230338e-01,1.735396446991105098e-04
1.001678272963239579e+03,9.999294848431268257e-01,1.734307794363483611e-04
1.001698705848335521e+03,9.999307331796991605e-01,1.734427771579420826e-04
1.001719138633190596e+03,9.999935722338924027e-01,1.734471430732233751e-04
1.001739571317819355e+03,1.000000000000000000e+00,1.734607366513200041e-04
1.001760004202449636e+03,1.000347062854722857e+00,1.734454777360593342e-04
1.001780436986606219e+03,1.000000000000000000e+00,1.734062877731105978e-04
1.001800869770770078e+03,1.000104517325089093e+00,1.734562376820579011e-04
1.001821302554701106e+03,1.000051968398994573e+00,1.734604192317773682e-04
1.001841735338392027e+03,9.998979861566064109e-01,1.734338378099856853e-04
1.001862168221625325e+03,1.000159156539373040e+00,1.734876759379365646e-04
1.001882600905089930e+03,9.996530575561121124e-01,1.734508712844072401e-04
1.001903033688082360e+03,9.997864190712815180e-01,1.734086269678168060e-04
1.001923466570849996e+03,1.000140529976309312e+00,1.734300518131494449e-04
1.001943899353616871e+03,1.000003930235821903e+00,1.734317541083126469e-04
1.001964332035910047e+03,1.000358800362538769e+00,1.733838333575177758e-04
1.001984764918212022e+03,1.000064313551085604e+00,1.734270891465730766e-04
1.002005197700273129e+03,1.000341499284413738e+00,1.734301360135855378e-04
1.002025630382107920e+03,1.000211915497569048e+00,1.734313996082618319e-04
1.002046063263711403e+03,1.000535656216242852e+00,1.735272321613193919e-04
1.002066496045081294e+03,9.997197854652989379e-01,1.733676501790644322e-04
1.002086928726210317e+03,9.996482238948063426e-01,1.733640890998637877e-04
1.002107361607348139e+03,9.997635047598021352e-01,1.734002048584320165e-04
1.002127794388012262e+03,9.998996733298459727e-01,1.734199483537742143e-04
1.002148227168683661e+03,9.999625346147581473e-01,1.733967014283977642e-04
1.002168659948889399e+03,1.000000000000000000e+00,1.733803480777476385e-04
1.002189092629094375e+03,1.000107121900890572e+00,1.733943089606775447e-04
1.002209525509060768e+03,1.000125324329399934e+00,1.733892547105312070e-04
1.002229958288800844e+03,9.996052395065569973e-01,1.733673140230736665e-04
1.002250390968540160e+03,1.000046852902963801e+00,1.733809622399975310e-04
1.002270823847808060e+03,1.000076363524871281e+00,1.734077928851375798e-04
1.002291256627082475e+03,9.999328377377948440e-01,1.733465010404521868e-04
1.002311689405891229e+03,1.000254565093693371e+00,1.734104284316395118e-04
1.002332122184692707e+03,1.000052022870518531e+00,1.734070773353442528e-04
1.002352554963268631e+03,9.998538009734977416e-01,1.734032198581150915e-04
1.002372987841605209e+03,1.000117455811322609e+00,1.733735767995923504e-04
1.002393420519714709e+03,1.000122244540047278e+00,1.733696245214883024e-04
1.002413853297592141e+03,9.998746913748195464e-01,1.733881567163207617e-04
1.002434286175230227e+03,9.997279240026594183e-01,1.733766791105210612e-04
1.002454718952874828e+03,1.000251183253223486e+00,1.734165165706224535e-04
1.002475151630285836e+03,1.000045788975662209e+00,1.733454042247837873e-04
1.002495584507225431e+03,9.998888809487728180e-01,1.733679817984060383e-04
1.002516017284171539e+03,9.997876308627819952e-01,1.733549467701654885e-04
1.002536449960884056e+03,1.000023660431616168e+00,1.733748019329411244e-04
1.002556882837357989e+03,9.999020078993319238e-01,1.733940975756102982e-04
1.002577315613605606e+03,9.998374468912556434e-01,1.733784269239003312e-04
1.002597748289852461e+03,9.999993294808495747e-01,1.733637997491384417e-04
1.002618181165627902e+03,9.998978000772198449e-01,1.734047843287696788e-04
1.002638613941409858e+03,1.000000000000000000e+00,1.733736012335911471e-04
1.002659046816959744e+03,1.000055265885901212e+00,1.733807362945511776e-04
1.002679479492268001e+03,1.000091089153293256e+00,1.734095664382289965e-04
1.002699912267351465e+03,1.000088981938390686e+00,1.733676499042151157e-04
1.002720345142202859e+03,1.000083618118638329e+00,1.733811894708505612e-04
1.002740777816812624e+03,1.000069921221770963e+00,1.733550106369155118e-04
1.002761210591197596e+03,1.000129881064001802e+00,1.733779741160796327e-04
1.002781643465583329e+03,1.000369241520447483e+00,1.734054858607196961e-04
1.002802076139727433e+03,1.000070495916744351e+00,1.733605644315198676e-04
1.002822508913413913e+03,1.000011110769486899e+00,1.734121387220457719e-04
1.002842941687100392e+03,9.999821844558227646e-01,1.734247312205486682e-04
1.002863374460546765e+03,1.000145687771278880e+00,1.734372800892002324e-04
1.002883807234000415e+03,9.997067938854886648e-01,1.734494278122427160e-04
1.002904240006988402e+03,1.000078073061057893e+00,1.734367053865742221e-04
1.002924672779736284e+03,9.997841696018834323e-01,1.734113892473089697e-04
1.002945105652492202e+03,9.996246677763778177e-01,1.733847036384234387e-04
1.002965538325013767e+03,9.999371572387196760e-01,1.734410451211624844e-04
1.002985971097295987e+03,9.998245000934977700e-01,1.734526338321202177e-04
1.003006403969353414e+03,9.996038798507714818e-01,1.734434774641283874e-04
1.003026836741177249e+03,1.000000000000000000e+00,1.734586562197521268e-04
1.003047269412760215e+03,9.998884924174843425e-01,1.734715312659322270e-04
1.003067702284119150e+03,9.999707801116218819e-01,1.734343681990410332e-04
1.003088135055477323e+03,9.999436668727105237e-01,1.734977441083919783e-04
1.003108567726594629e+03,1.000018009815732745e+00,1.734748991254234606e-04
1.003129000597255072e+03,9.999191474229869314e-01,1.734684674493117075e-04
1.003149433367914753e+03,1.000021934996165651e+00,1.734617866362388931e-04
1.003169866238335089e+03,1.000000000000000000e+00,1.734784954018045889e-04
1.003190298908761179e+03,1.000020977136071076e+00,1.734553790760359271e-04
1.003210731678722368e+03,1.000103159269387199e+00,1.734501947165632005e-04
1.003231164548677043e+03,9.999881227839773068e-01,1.734817782867752926e-04
1.003251597218171810e+03,1.000280072416535493e+00,1.734697935943695698e-04
1.003272029987667338e+03,9.997748120312635045e-01,1.734184499275730077e-04
1.003292462856923521e+03,nan,nan
1.003312895525952626e+03,9.996818175028524545e-01,1.734067758803890975e-04
1.003333328294742387e+03,1.000079500720151948e+00,1.734560082750072536e-04
1.003353761163540184e+03,1.000304976256583211e+00,1.734997494791924667e-04
1.003374193831870798e+03,1.000232276200444081e+00,1.734714188355836130e-04
1.003394626600202173e+03,9.999624522259651371e-01,1.734650606019396790e-04
1.003415059468294203e+03,1.000259075123836494e+00,1.734718339450032430e-04
1.003435492136159155e+03,1.000220793033017141e+00,1.734886341031446834e-04
1.003455925003785524e+03,9.998468288103607993e-01,1.735067077503999280e-04
1.003476357771185576e+03,9.997155939574492445e-01,1.734666229716072929e-04
1.003496790538352798e+03,9.999807454130735795e-01,1.735384499439952474e-04
1.003517223305512744e+03,9.999061201068698557e-01,1.734903619798826399e-04
1.003537656072214304e+03,1.000135084772880267e+00,1.735487290961403538e-04
1.003558088738915103e+03,9.999437615620527797e-01,1.735145524458044000e-04
1.003578521605377318e+03,1.000141411886550591e+00,1.735270157458746365e-04
1.003598954371613218e+03,1.000000000000000000e+00,1.734544827347911833e-04
1.003619387037848355e+03,1.000382002151169347e+00,1.735230714280786739e-04
1.003639819903612079e+03,1.000000000000000000e+00,1.735057140540654825e-04
1.003660252669382317e+03,9.999222943908143701e-01,1.735278781890259824e-04
1.003680685534687655e+03,9.995692177325541383e-01,1.735278197084588053e-04
1.003701118199984194e+03,1.000073585583051150e+00,1.735413170233635180e-04
1.003721550965055940e+03,9.999514220174388068e-01,1.735168838423964844e-04
1.003741983829895617e+03,9.999958798964915241e-01,1.735443305074633341e-04
1.003762416494726494e+03,9.999319702926724451e-01,1.735505752284540522e-04
1.003782849259099748e+03,9.998771629195288835e-01,1.735204831303283654e-04
1.003803282123473764e+03,1.000028458307142820e+00,1.735276059016432643e-04
1.003823714787373319e+03,9.999707742878125583e-01,1.735389888308430987e-04
1.003844147551280912e+03,1.000058930534410750e+00,1.735308477032806453e-04
1.003864580414956436e+03,1.000431011890006383e+00,1.735425208751321155e-04
1.003885013078390330e+03,1.000134729679654777e+00,1.735390777024560212e-04
1.003905445841832261e+03,9.997525803464660799e-01,1.735316498761739956e-04
1.003925878704809293e+03,1.000185524027757289e+00,1.735874687807130359e-04
1.003946311467778287e+03,9.998958262454609169e-01,1.735674332415264082e-04
1.003966744230521726e+03,9.998098564147583911e-01,1.735560606485798572e-04
1.003987176993032335e+03,9.998141576592874946e-01,1.735935354732198721e-04
1.004007609755302838e+03,9.999663580521139794e-01,1.735996966381079067e-04
1.004028042517347785e+03,9.997673756358231856e-01,1.735745722419719495e-04
1.004048475279392733e+03,1.000510205450907408e+00,1.736080058394286131e-04
1.004068908040964743e+03,1.000190179746700547e+00,1.735973870925477925e-04
1.004089340902544791e+03,1.000273590834649617e+00,1.736239886990461104e-04
1.004109773563890485e+03,1.000262490919952008e+00,1.735864160592409753e-04
1.004130206324996834e+03,nan,nan
1.004150639185878390e+03,nan,nan
1.004171071846525592e+03,9.998404494569480550e-01,1.736372479095127472e-04
1.004191504707167041e+03,nan,nan
1.004211937367581413e+03,1.000000000000000000e+00,1.737132600845120954e-04
1.004232370127763716e+03,nan,nan
1.004252802987706673e+03,9.996375212744141869e-01,1.736217272762580666e-04
1.004273235647422553e+03,9.997861291270080386e-01,1.736244990419608212e-04
1.004293668406906363e+03,nan,nan
1.004314101266383659e+03,nan,nan
1.004334533925401047e+03,9.997614688992436660e-01,1.735796494257069091e-04
1.004354966684419196e+03,1.000002588867429099e+00,1.736626115551664711e-04
1.004375399543198000e+03,1.000111995290061007e+00,1.736944758688744239e-04
1.004395832201749727e+03,1.000025026344782519e+00,1.736703052912920387e-04
1.004416264960069384e+03,1.000517772145354423e+00,1.736716075443188879e-04
1.004436697818382527e+03,1.000161660388343643e+00,1.737001247573416310e-04
1.004457130476468592e+03,9.998022822875805016e-01,1.736867506479522071e-04
1.004477563334090519e+03,9.998209846114843868e-01,1.736559750541888283e-04
1.004497996091704408e+03,9.998166698324360002e-01,1.736714602231366434e-04
1.004518428849092743e+03,9.997371820139682175e-01,1.736777807002581951e-04
1.004538861606473802e+03,9.999197451097013856e-01,1.736717528378182063e-04
1.004559294363396475e+03,9.999749742815198239e-01,1.736929615499371968e-04
1.004579727120319149e+03,9.995396610175342200e-01,1.736617103019472814e-04
1.004600159877008991e+03,9.997100395914856330e-01,1.736690528691122121e-04
1.004620592633225897e+03,9.997514616967188017e-01,1.736606062687146891e-04
1.004641025389682909e+03,1.000000000000000000e+00,1.736799967874527782e-04
1.004661458245667745e+03,1.000305115576188619e+00,1.736937619575317025e-04
1.004681890901425504e+03,1.000233004659326186e+00,1.736655691540928722e-04
1.004702323757184786e+03,1.000666697989550213e+00,1.736978117597272006e-04
1.004722756512703199e+03,1.000221294430513996e+00,1.736571528910743883e-04
1.004743189167995297e+03,1.000121957685477181e+00,1.736793078938202639e-04
1.004763622023056087e+03,1.000090403951314100e+00,1.736551821490124158e-04
1.004784054777876008e+03,1.000000000000000000e+00,1.736658667068395558e-04
1.004804487432702444e+03,9.997945570364982215e-01,1.736251863744196463e-04
1.004824920287064742e+03,9.996204688010782435e-01,1.736519353108831678e-04
1.004845353041419003e+03,9.996499953505271208e-01,1.736329775495468511e-04
1.004865785695546947e+03,9.998616661985239018e-01,1.736570375231934497e-04
1.004886218549443583e+03,9.998490094878602630e-01,1.736181531637149774e-04
1.004906651203098590e+03,1.000177260769862020e+00,1.736340470871988164e-04
1.004927083956761635e+03,1.001160515585703292e+00,1.738103569196652550e-04
1.004947516810192610e+03,1.000304416483936976e+00,1.737076093304611103e-04
1.004967949463156401e+03,1.000562920104656639e+00,1.737034667305444990e-04
1.004988382316114439e+03,9.997522414050826756e-01,1.736484991385199193e-04
1.005008815069078992e+03,1.000220440015145984e+00,1.736774290887787339e-04
1.005029247821570607e+03,1.000206057239038104e+00,1.736976665724135316e-04
1.005049680573836667e+03,9.998727606180400906e-01,1.736932134142609731e-04
1.005070113326102728e+03,9.996974853505722347e-01,1.736789411711003644e-04
1.005090546078128682e+03,1.000052065120329292e+00,1.736853201858377244e-04
1.005110978829929081e+03,9.999132240838932706e-01,1.736910363380680944e-04
1.005131411581496650e+03,1.000000000000000000e+00,1.736908075987813867e-04
1.005151844333056943e+03,9.999074656697635177e-01,1.736714918987332509e-04
1.005172277184159611e+03,1.000029343353289413e+00,1.737047870977898880e-04
1.005192709835260757e+03,1.000135691169583119e+00,1.737128333930238551e-04
1.005213142686123319e+03,9.999266404630875460e-01,1.737224556515228210e-04
1.005233575436759565e+03,9.999591477961770059e-01,1.737025102607897824e-04
1.005254008087395050e+03,1.000149986617242748e+00,1.737069966951338492e-04
1.005274440937559120e+03,1.000176362141003805e+00,1.737054508101989493e-04
1.005294873687729705e+03,1.000196789077400616e+00,1.736922105568744837e-04
1.005315306337666698e+03,9.997361739974204298e-01,1.737042597939109957e-04
1.005335739187365107e+03,1.000210533443788963e+00,1.736981816131444073e-04
1.005356171936837200e+03,1.000017744591448432e+00,1.737582611976225169e-04
1.005376604586075700e+03,1.000046138066389201e+00,1.737480001267477782e-04
1.005397037435308448e+03,1.000000000000000000e+00,1.737443702986053728e-04
